origin,n
Afghanistan,1009
Albania,0
Algeria,0
Angola,5
Armenia,28
Azerbaijan,19
Bangladesh,3
Belarus,87
Benin,0
Bhutan,5242
Bosnia and Herzegovina,0
Bulgaria,0
Burkina Faso (UVolta),0
Burma,16414
Burundi,1183
Cambodia,1
Cameroon,8
Canada,0
Central African Republic,90
Chad,6
China,26
Colombia,384
Congo,21
Costa Rica,0
Croatia,1
Cuba,1026
Dem. Rep. Congo,7548
Djibouti,2
Ecuador,1
Egypt,11
El Salvador,6
Equatorial Guinea,2
Eritrea,1579
Estonia,0
Ethiopia,565
France,0
Gabon,0
Gambia,3
Gaza Strip,0
Georgia,7
Germany,0
Ghana,0
Guatemala,0
Guinea,2
Guinea - Bissau,0
Haiti,0
Honduras,0
India,1
Indonesia,7
Iran,2794
Iraq,9172
Israel,0
Ivory Coast,40
Jamaica,1
Jordan,3
Kazakhstan,39
Kenya,2
"Korea, North",13
Kuwait,2
Kyrgyzstan,8
Laos,0
Latvia,0
Lebanon,0
Liberia,11
Libya,0
Lithuania,0
Macedonia,0
Madagascar (Malagasy Republic),0
Malaysia,0
Mali,8
Mauritania,0
Moldova,240
Montenegro,0
Morocco,0
Namibia,1
Nepal,28
Netherlands,1
Niger,0
Nigeria,3
Pakistan,181
Palestine,79
Philippines,0
Republic of South Sudan,92
Russia,248
Rwanda,168
Saudi Arabia,5
Senegal,7
Serbia,0
Sierra Leone,2
Somalia,6984
South Africa,2
Sri Lanka (Ceylon),86
Sudan,1576
Sweden,0
Syria,1869
Tajikistan,10
Tanzania,0
Thailand,3
Tibet,0
Togo,5
Tunisia,7
Turkey,2
Turkmenistan,5
Uganda,54
Ukraine,1522
United Arab Emirates,0
United Kingdom,0
Uzbekistan,32
Venezuela,0
Vietnam,36
Yemen,7
Zambia,0
Zimbabwe,5
